sample_id,relative_path,filename,ground_truth_index,synset,class_name,split,sha256
c0000,data/raw/imagenette2-320/train/n01440764/n01440764_5087.JPEG,n01440764_5087.JPEG,0,n01440764,tench,train,d9a06d701542694c17497557c12934f0bd93730ed5d696e3905e015d41ce8ac4
c0001,data/raw/imagenette2-320/train/n01440764/n01440764_2835.JPEG,n01440764_2835.JPEG,0,n01440764,tench,train,b1d486ca64c085cc00ab02fd414defecda2f0f3c7bb831f4c0920011fe748a81
c0002,data/raw/imagenette2-320/train/n01440764/n01440764_5345.JPEG,n01440764_5345.JPEG,0,n01440764,tench,train,c325a6118ff60ee3d3ada6e61b4975c98dc775532864ec7c783e5381e05df073
c0003,data/raw/imagenette2-320/train/n01440764/n01440764_7714.JPEG,n01440764_7714.JPEG,0,n01440764,tench,train,dac4e299240c4eff5a9b2329ad3b9b08b9d33fc7f250894cb7546b2531243069
c0004,data/raw/imagenette2-320/train/n01440764/n01440764_10995.JPEG,n01440764_10995.JPEG,0,n01440764,tench,train,ea2cb7ea05a801f3840b84f08499149024793a22f6532bacdef7075eed43c8d0
c0005,data/raw/imagenette2-320/train/n01440764/n01440764_11607.JPEG,n01440764_11607.JPEG,0,n01440764,tench,train,47b81de98b9639b19c9a7954259618618aca2dbaef98050921c3e2e180f60412
c0006,data/raw/imagenette2-320/train/n01440764/n01440764_10227.JPEG,n01440764_10227.JPEG,0,n01440764,tench,train,9d8b68786b46e2e4d8eef2c0dd9d9164b0ccd15efad92ee5075d4a4c08058b6b
c0007,data/raw/imagenette2-320/train/n01440764/n01440764_23493.JPEG,n01440764_23493.JPEG,0,n01440764,tench,train,2235e34e885772112add5a0e32c53e49128f18372317d2afc87e69ed502e5588
c0008,data/raw/imagenette2-320/train/n01440764/n01440764_5848.JPEG,n01440764_5848.JPEG,0,n01440764,tench,train,5cce011ce81a893d7f6786779f2b59e4e061f3199f3877ca5f781738524ce4df
c0009,data/raw/imagenette2-320/train/n01440764/n01440764_21809.JPEG,n01440764_21809.JPEG,0,n01440764,tench,train,1107805c535c82c3df33e044188724e4e5a12402839d1acdcf0bdbd95c067185
c0010,data/raw/imagenette2-320/train/n02102040/n02102040_2039.JPEG,n02102040_2039.JPEG,217,n02102040,English_springer,train,4671a69c84f6a0fa5344d8657d9788d77cea871ed1a44bbfebebdebe59640940
c0011,data/raw/imagenette2-320/train/n02102040/n02102040_5549.JPEG,n02102040_5549.JPEG,217,n02102040,English_springer,train,7447fe9aa09b19d7fd23905c97e15665aec56b5be8e414f5e810be815b2a2216
