sample_id,relative_path,filename,ground_truth_index,synset,class_name,split,sha256
b0000,data/raw/imagenette2-320/val/n01440764/n01440764_1310.JPEG,n01440764_1310.JPEG,0,n01440764,tench,val,3d3b337b9d8c06ed26b6ceefed4a9da2f6ea3cb8151b3b2cd3633ba39895dc28
b0001,data/raw/imagenette2-320/val/n01440764/n01440764_14190.JPEG,n01440764_14190.JPEG,0,n01440764,tench,val,5d9fa9fc9377a0382d7486cb189c856eada84a61cca815f7fab731bad40b62a1
b0002,data/raw/imagenette2-320/val/n01440764/n01440764_8622.JPEG,n01440764_8622.JPEG,0,n01440764,tench,val,e96e9d50cbd6f9561af2b7ffc5444b9f9e7f367c657f0dc1ae2078de17a1047b
b0003,data/raw/imagenette2-320/val/n01440764/n01440764_6052.JPEG,n01440764_6052.JPEG,0,n01440764,tench,val,a9564b24da569d7a1b012bdfba4243ec4582f3aae04c5170e1a8cd8ab6a4c4b5
b0004,data/raw/imagenette2-320/val/n01440764/n01440764_8250.JPEG,n01440764_8250.JPEG,0,n01440764,tench,val,8157d05220d96e1756f77dc27098f2584f9ea7e9f857ce5a8a144fc0d30d7f7e
b0005,data/raw/imagenette2-320/val/n01440764/n01440764_6550.JPEG,n01440764_6550.JPEG,0,n01440764,tench,val,3c52f2b67b192137f345fde92da5dced1fb69d5b82102d9418c9fdbb4d9ad33a
b0006,data/raw/imagenette2-320/val/n01440764/n01440764_4512.JPEG,n01440764_4512.JPEG,0,n01440764,tench,val,bf5582224040532ac9c80703ab026595494f4c8a9dad33e4c9936e1808843c41
b0007,data/raw/imagenette2-320/val/n01440764/n01440764_13251.JPEG,n01440764_13251.JPEG,0,n01440764,tench,val,ae92a795a6d0304a047ed374251f1ea2330214a026daefc3dd3f5d4bfd54f35f
b0008,data/raw/imagenette2-320/val/n01440764/n01440764_12021.JPEG,n01440764_12021.JPEG,0,n01440764,tench,val,dd6f9113de7ea47a42840574b91e8f4c867a9f69ddf82f8a79807963800dad04
b0009,data/raw/imagenette2-320/val/n01440764/n01440764_3011.JPEG,n01440764_3011.JPEG,0,n01440764,tench,val,e318fca94539f4eedd02989ee486989aa57924f98cd9f00b703157e6695c81b3
b0010,data/raw/imagenette2-320/val/n01440764/n01440764_20650.JPEG,n01440764_20650.JPEG,0,n01440764,tench,val,cb44484763a7424c628d2506996005483cf782ef340a16e5caf9bbb106e67995
b0011,data/raw/imagenette2-320/val/n01440764/n01440764_11570.JPEG,n01440764_11570.JPEG,0,n01440764,tench,val,bd194e50e32915fe1c1826ac5ee6561067b1e8d4a771feaabb0bf04ab5bde201
b0012,data/raw/imagenette2-320/val/n01440764/n01440764_13452.JPEG,n01440764_13452.JPEG,0,n01440764,tench,val,5294d7d1c58768242a2bd1c2410c74687fe0cb783e6b73104ca7708dd36ed16d
b0013,data/raw/imagenette2-320/val/n01440764/n01440764_9572.JPEG,n01440764_9572.JPEG,0,n01440764,tench,val,814adcdbff173564f7f0f7df1edff6415ceef2711d09b6c371e1a5a4311d897d
b0014,data/raw/imagenette2-320/val/n01440764/n01440764_12881.JPEG,n01440764_12881.JPEG,0,n01440764,tench,val,b9f4ff080e344340d8eeeaee3d08942ed74568a68c58a0191e31f7179494e062
b0015,data/raw/imagenette2-320/val/n01440764/n01440764_8451.JPEG,n01440764_8451.JPEG,0,n01440764,tench,val,8136d16e05d8513519e62d55a6fc21bdd4327e119464087af3642955da83138e
b0016,data/raw/imagenette2-320/val/n01440764/n01440764_7040.JPEG,n01440764_7040.JPEG,0,n01440764,tench,val,7df44bc88d6795e643dc15d93e8492bf31ee7148b019e8eed9dbf9c524e2bcc9
b0017,data/raw/imagenette2-320/val/n01440764/n01440764_30782.JPEG,n01440764_30782.JPEG,0,n01440764,tench,val,33e05a0eb0ffbc2705dd4d132c645412544a5354ed2c0e0dba5d573d317bee48
b0018,data/raw/imagenette2-320/val/n01440764/n01440764_3432.JPEG,n01440764_3432.JPEG,0,n01440764,tench,val,9e39ecfd6935664ff1ffbca6c3cfa3e6b69c547586515b4480e95518f3b04fcd
b0019,data/raw/imagenette2-320/val/n01440764/n01440764_7142.JPEG,n01440764_7142.JPEG,0,n01440764,tench,val,7c40ae3c47a2985e5408d5e77ca74c65dcd49ecfc69089768670028fa1fe3187
b0020,data/raw/imagenette2-320/val/n01440764/n01440764_4341.JPEG,n01440764_4341.JPEG,0,n01440764,tench,val,8444327b3be8fddbc526e16bfa04fa7eb1ed482e5888922fa08fb3b9399f3e79
b0021,data/raw/imagenette2-320/val/n01440764/n01440764_752.JPEG,n01440764_752.JPEG,0,n01440764,tench,val,ba8011902d1333e9c309de9508c911ec5ca7199825805a7ec4fc4885db82aab3
b0022,data/raw/imagenette2-320/val/n01440764/n01440764_6751.JPEG,n01440764_6751.JPEG,0,n01440764,tench,val,3fcb606ae4024a7e0bd3a1333396d8eb353363d2c2c17d381f4f3f500e142bf9
b0023,data/raw/imagenette2-320/val/n01440764/n01440764_20592.JPEG,n01440764_20592.JPEG,0,n01440764,tench,val,d647bf278518981afb17cbe5399b4cfa3d2abc75bab704b111218907f0ce95f5
b0024,data/raw/imagenette2-320/val/n01440764/n01440764_26541.JPEG,n01440764_26541.JPEG,0,n01440764,tench,val,763c7ecba6c02c8228c2c391df012bf5f242f2fbbc96169b38003755fb3900ca
b0025,data/raw/imagenette2-320/val/n01440764/n01440764_10592.JPEG,n01440764_10592.JPEG,0,n01440764,tench,val,4738fe300bf61085da1471d45b0ce21af9957963531b5dc624e4c5fc659e1d4a
b0026,data/raw/imagenette2-320/val/n01440764/n01440764_11602.JPEG,n01440764_11602.JPEG,0,n01440764,tench,val,2a7d350a99c4b6a208f6343f31b082739418e4b4e7d620ac79c6e02d3f3859ac
b0027,data/raw/imagenette2-320/val/n01440764/n01440764_12291.JPEG,n01440764_12291.JPEG,0,n01440764,tench,val,5ab4e6dee33e4e8903af74fb5465a04eb7a5598dbb16ab5b5c96eda1f448690f
b0028,data/raw/imagenette2-320/val/n01440764/n01440764_14530.JPEG,n01440764_14530.JPEG,0,n01440764,tench,val,e132daf66818f2ddd8aac8e5ea20d32f3be4bf001b8661c4ee76c008114bf1a1
b0029,data/raw/imagenette2-320/val/n01440764/n01440764_21052.JPEG,n01440764_21052.JPEG,0,n01440764,tench,val,4b1990f1023821bc12094b1ec6c95bf332f9fa79d44c153af9f72db3e4c792d7
b0030,data/raw/imagenette2-320/val/n01440764/n01440764_5490.JPEG,n01440764_5490.JPEG,0,n01440764,tench,val,669c405e2538a72a7ebe06fc9784d7d8a64dad7c0335039c41d6ce313de58c66
b0031,data/raw/imagenette2-320/val/n01440764/n01440764_12241.JPEG,n01440764_12241.JPEG,0,n01440764,tench,val,3d312413d57e77584261780f0da5eefc510894934efc422330f3ffb1cfc20b51
b0032,data/raw/imagenette2-320/val/n01440764/n01440764_13821.JPEG,n01440764_13821.JPEG,0,n01440764,tench,val,86f30813bf379e1b0a5d0a3e597209827049f0ff32d1e1fe2f2376b1a7c83806
b0033,data/raw/imagenette2-320/val/n01440764/n01440764_3251.JPEG,n01440764_3251.JPEG,0,n01440764,tench,val,2261604b87db1666243447941a539c11db0330364a20ae70cbfa7c0844237c94
b0034,data/raw/imagenette2-320/val/n01440764/n01440764_421.JPEG,n01440764_421.JPEG,0,n01440764,tench,val,adef90be0aac887794b30ad6ae5d2b910aa9f173f2718343f12812cc9d86258a
b0035,data/raw/imagenette2-320/val/n01440764/n01440764_11151.JPEG,n01440764_11151.JPEG,0,n01440764,tench,val,2f7fea7e7208d3355a33992ec2055e8db326279ace4038a353c15b04652056b9
b0036,data/raw/imagenette2-320/val/n01440764/n01440764_10482.JPEG,n01440764_10482.JPEG,0,n01440764,tench,val,fa43fa7ce3cd2341d1bfaf36a4788cba17106b315dc5b23a93b40c2c5c9b980f
b0037,data/raw/imagenette2-320/val/n01440764/n01440764_12702.JPEG,n01440764_12702.JPEG,0,n01440764,tench,val,80385fffc874097b6ee46c2e73471d755e0e616ff0901ac0f87e3d9e4c2673c9
b0038,data/raw/imagenette2-320/val/n01440764/n01440764_12151.JPEG,n01440764_12151.JPEG,0,n01440764,tench,val,edfce529c164f9cfcbb241f054aaa09cd9d8f1e915c7802e44b99af8b3d23d47
b0039,data/raw/imagenette2-320/val/n01440764/n01440764_1561.JPEG,n01440764_1561.JPEG,0,n01440764,tench,val,982f84f942d84092ba1f85f7cf3d01535c108ef7c5141f77246491d3f6b29e5d
b0040,data/raw/imagenette2-320/val/n01440764/n01440764_5361.JPEG,n01440764_5361.JPEG,0,n01440764,tench,val,d73969ef9fb65f8efe125d404a0913caf9660ce10d877af001e5f797165fb9f6
b0041,data/raw/imagenette2-320/val/n01440764/n01440764_7591.JPEG,n01440764_7591.JPEG,0,n01440764,tench,val,d31e605c4e73be825ae7f64bb1b75d65c53728c92889012d6051f4195e01dc33
b0042,data/raw/imagenette2-320/val/n01440764/n01440764_6410.JPEG,n01440764_6410.JPEG,0,n01440764,tench,val,ad5529332747ba2a0a9f8177af6ff3755cbb7741e3977f49bfd640831f0ac2ee
